,bracket number,horse number,penalty,favorite,horse name,jockey,trainer,age,gender,horse weight,weight cycling,turn,circumference,wether,track surface,track condition
0,3,6,58,2.0,Title holder,Kazuo Yokoyama,[East] Toru Kurita,4,male,476,2,clockwise,2200,sunny,grass,firm
1,5,10,58,5.0,Hishi Iguazu,lane,[East] Noriyuki Hori,6,male,490,-4,clockwise,2200,sunny,grass,firm
2,4,7,56,4.0,Daring Tact,Kohei Matsuyama,[West] Haruki Sugiyama,5,female,480,-6,clockwise,2200,sunny,grass,firm
3,7,15,58,3.0,Deep bond,Ryuji Wada,[West] Okubo Dragon,5,male,502,-2,clockwise,2200,sunny,grass,firm
4,5,9,58,14.0,Meiner Fanrong,M. Dem,[East] Takahisa Tezuka,7,male,474,-4,clockwise,2200,sunny,grass,firm
5,2,4,58,1.0,Efforia,Takeshi Yokoyama,[East] Yuichi Shikato,4,male,520,-2,clockwise,2200,sunny,grass,firm
6,6,12,56,9.0,Win Marilyn,Masami Matsuoka,[East] Takahisa Tezuka,5,female,476,14,clockwise,2200,sunny,grass,firm
7,6,11,58,6.0,Panthalassa,Yutaka Yoshida,[West] Yoshito Yahagi,5,male,476,0,clockwise,2200,sunny,grass,firm
8,4,8,58,10.0,Stay Foolish,Ryusei Sakai,[West] Yoshito Yahagi,7,male,472,0,clockwise,2200,sunny,grass,firm
9,8,17,58,17.0,Gibeon,Nishimura Junya,[West] Hideaki Fujiwara,7,male,510,2,clockwise,2200,sunny,grass,firm
10,8,18,58,8.0,Potager,Hayato Yoshida,[West] Yasuo Tomomichi,5,male,464,-4,clockwise,2200,sunny,grass,firm
11,8,16,58,13.0,Gloria Mundy,Yuichi Fukunaga,[West] Okubo Dragon,4,male,496,0,clockwise,2200,sunny,grass,firm
12,2,3,56,16.0,Melody lane,Taisei Danno,[West] Naoyuki Morita,6,female,354,2,clockwise,2200,sunny,grass,firm
13,7,13,58,7.0,Arivo,Taketoyo,[West] Haruki Sugiyama,4,male,504,4,clockwise,2200,sunny,grass,firm
14,3,5,58,15.0,Iron Burrows,Shu Ishibashi,[West] Hiroyuki Uemura,5,male,492,-4,clockwise,2200,sunny,grass,firm
15,1,2,58,12.0,African Gold,Kyosuke Kokubun,[West] West Garden Zhengdu,7,gelding,468,0,clockwise,2200,sunny,grass,firm
16,7,14,58,11.0,King of Koji,Norihiro Yokoyama,[West] Shogo Yasuda,6,male,498,-8,clockwise,2200,sunny,grass,firm
